bios,country,name
"Aryan Kaganof (born 1964 as Ian Kerkhof) is a South African film maker, novelist, poet and fine artist. His books include Drive-Thru Funeral, Tombstone Dues, Post-Mortemist Poems as well as the much funnier Ballad Of Sugar Moon And Coffin Deadly. Best known for inventing the .úfeelbad.ù movie genre with such audience pleasers as SMS Sugar Man.",South Africa,"I went to my own funeral
They were playing that celestial music
The notes rang out as time dragged down
I slowly climbed the stairs
And every one of those stairs was sound
solidified
Like an organ made of stone, Then the coffin came into view
It was shining brighter than the Sun
But not quite as bright as the Moon
And I was unafraid .òcos I'd been here before
so many times and I knew
I'd be coming back again, Then a woman started dancing
And I felt her rhythm when it crawled up my
feet
And became my rhythm too
We were both born in Gauteng
And the earth roared under our feet
I could see the sky through somebody's eyes
But the eyes were not my own, Then we stretched our umbilical cords
From the Hillbrow Tower to Devil's Peak
Where she played her silver bow
And every one of those notes rang true
And my heart stopped beating
.òCos I didn't give a damn
If I lived or died
All that mattered was her and her sound
As they lowered me into the ground, So say .úcest la vie.ù to the broken-hearted
Say .úbon voyage.ù to the newly-weds
Always say .úI love you.ù to the one
You wake up next to
But O my sweet little darling
Don't you ever say .úforever.ù
Forever is a very short time"
"Postcolonial polysystems: The production and reception of translated children's literature in South Africa (John Benjamins, 2012).Her poetry and short stories have been published in, amongst others, The Common, Big Bridge, New Contrast, New Coin and Green Dragon. Her debut collection of poetry, Lush: poems for four voices, was published in 2007 by Protea Book House. Lush was praised in the judges statement for the 2006/2007 Ingrid Jonker Prize as an .úinnovative volume of poems.ù that was .úa close contender for the prize.ù. The reckless sleeper (Modjaji Books, 2012) is her second collection.Kruger lives in Vereeniging, South Africa, with her husband and three children.Podcast: <a class=""powerpress_link_pinw"" href=""http://badilishapoetry.com/wp-content/uploads/downloads/Haidee-Kruger.mp3"" onclick=""return powerpress_pinw('https://badilishapoetry.com/?powerpress_pinw=1390-podcast');"" rel=""nofollow"" target=""_blank"" title=""Play in new window"">Play in new window | <a class=""powerpress_link_d"" download=""Haidee-Kruger.mp3"" href=""http://badilishapoetry.com/wp-content/uploads/downloads/Haidee-Kruger.mp3"" rel=""nofollow"" title=""Download"">Download",South Africa,"Writer, I keep my tools
hidden,
until the sun rasps
its black breath over
the suburbs. Only then, do I edge from
my demure murmuring disguise,
carrying my pen like
an axe,
waiting in the underbrush for
the first bloodwarm faces
to appear. I like, to slaughter the meat out
of them, to space
their soft stomachs across
the page, to stretch
their sinews into
stems and curves,, or else
to pull their wet skins tight,
nailing them down around
the white silences
squirming. I never, wash my hands
after .ì the whimpers dry
to innocent ink under
my nails. And besides,, I keep my tools
hidden., The reckless sleeper, Time,
I thought.
Coffeed &amp; inked. Light scarred against mirrors while she practised the world on paper. Kafka crumbling against the comfort of spoons, scarves, skin.
Time,
I thought.
Desire watercoloured, worn like a locket. Who dares not to speak?
Not to run like a child after a blue pigeon? Not to offer the mouth for eating,
not to follow? Who dares not to? Step in, fall through. Kissing crows and candles. Again.
Time,
I thought.
And Leonard wept as she chose the colours of this place:
rhubarb, tea stains, ginger, asphalt, biscuit, scissors, guinness, tongue, memory, bone, canvas, railway, wax, egg, fire.
Time,
I thought.
A reckless sleeper. A puzzle of objects, a guarding blanket. The horror of a blue ribbon. The hollowness of hats. Something to touch.
Time,
I thought.
Walking through revolving doors. , The Tate Modern/Starbucks, London"
"Performance poet, Koleka Putuma, is based in Cape Town and currently pursuing a degree in Theatre and Performance at the University of Cape Town. She facilitates and hosta writing and dialogue workshops at schools, community projects and interfaith programs in and around Cape Town. She has headlined at SliPnet's Inzync Poetry Sessions, JamThat Session and at Off The Wall. She is a resident poet ofthe collective Lingua Franca. In 2012 she took second place in the Cape Town leg of the Drama for Life Lover + Another National Performance Poetry Slam Competition and represented the city at the national finals. Her work has travelled to Scotland and New York.",South Africa,"This is her narrative,
Sketching comparative analysis
That cannot be defined by the architect of her hips or backside
These words a microscope into her body smile and mind
Aligned with the testament of time
That by breath, dust and rib- from Adam
A masterpiece unfathomable was fashioned and formed
Beyond conventional norms of society's
Stating-
All they were destined to be
Are
Child bearers,
Victims,
Punching bags,
Secretaries,
All things derogatory,
Burden carriers,
Wives
And a mere shadows of the xy chromosome.
I said a lineage of greatness is born
Women who have stood on the front lines of battlefields
Yielded their present for the future of others,
Mothers of inspiration, civil rights movements,
Preachers, prophetesses, goddesses, and nothing less
Than bravery,
Affectionate and gifted hands
Unafraid to be transparent in lifting up their vulnerability
To be seen, to be heard,
To be living monuments in historical chapters
As their resilience and virtue
Combine to project a relentless spirit and boldness
Confined in the stride of her walk
Her talk oozes proverbs
The universe is but a herd
Flocking to her breasts
To suckle the milk that strengthens
Young ones
Ones,
Become two,
To become mass pedigrees of masterpieces unsold
More precious than Gold
Woman-
You ought to be told that you are indescribable and ridiculously exquisite
This pen visits the passages and corridors
Of your silent pain and wars
To find you
Undefeated
Unscarred
And
Victorious
Let your notorious cellulite map out the geography to a sight called
Flawless
Your fat will be the pillow of consolation
That more women may embrace their imperfections that are but perfections
In the eyes of .úloving yourself regardless'
Your bones are the rock where men will be grounded
Your dreams founded and accomplished
And your skeleton relished
In the undisputable truth that YOU
WOMAN
Are Phenomenal"
"<span id=""freeTextContainerauthor6994016"">Yrsa Daley-Ward is a writer and poet of mixed West Indian and West African heritage. Born to a Jamaican mother and a Nigerian father, Yrsa was raised by her devout Seventh Day Adventist grandparents in the small town of Chorley in the North of England. Her first collection of stories On Snakes and Other Stories was published by 3:AM Press. Bone is the title of her new book.
",United Kingdom,"It isn't that dad doesn't love you or your brother
said Mum, greasing up our ashy legs with Vaseline
Or that your auntie Amy's a man stealing back-stabbing, cheating bitch
who can't keep a man so she has to steal somebody else's.
We just don't see eye to eye on much, that's all
and he wouldn't stop eating cashew nuts in bed, It's not that you mother and I hate each other
said Dad, pushing a crumpled ten pound note into my chinos pocket
.¶or that I forgot about your birthday
but I need time to think now. I'm moving in with Amy
and anyway, your mum cooks with too much salt., It wasn't so much an affair, you understand
said Auntie Amy, lacing up my brothers small Nike trainers
and picking out my knots with the wooden comb shaped like a fist
but a meeting of minds outside of our respective vows
And bodies, muttered mum, when I told her later.
Two faced tramp. What a joke.
Don't tell anyone I said that.
Don't tell anyone I said that., It's not as though your mums exactly an angel, either
said dad with blood red eyes
and a pulsing vein in his forehead
finishing the last of his whisky
and auntie Amy hissed, Easy Winston, you've had enough
and dad said, Don't tell me what to do
not even my wife yet, and you think you know it all., It not that your family are going to hell, necessarily
said grandma, boiling up the green banana, yam and dumpling
and grating the coconut onto the rice and peas
They must just accept Jesus Christ into their lives
and put away the drink and sin and all the lies.
Now go and wash your hands and set the table.
Don't worry, child.
We'll pray for them tonight."
"Anis Mojgani is a two time National Poetry Slam Champion and winner of the International World Cup Poetry Slam. A TEDx Speaker and former resident of the Oregon Literary Arts Writers-In-The-Schools program, Anis has performed at numerous universities, festivals, and venues around the globe and has performed for audiences as varied as the House of Blues and the United Nations. His work has appeared on HBO, NPR, and in the pages of such journals asRattle, Forklift Ohio, Used Furniture Review, andThrush. A founding member of the touring Poetry Revival, Anis is also the author of three poetry collections, all published by Write Bloody Publishing:Songs From Under the River(2013),The Feather Room(2011), and Over the Anvil We Stretch(2008).A graduate of the Savannah College of Art and Design, he still tries to make tiny spaces for visual art, doing the covers for his own books, and occasionally providing work for others, be it illustrations, the randomposter, or whatever else may spark up.Originally from New Orleans, Anis currently lives in Austin TX in a little house with his wife and their dog, Trudy.Podcast: <a class=""powerpress_link_pinw"" href=""http://badilishapoetry.com/wp-content/uploads/downloads/Anish.mp3"" onclick=""return powerpress_pinw('https://badilishapoetry.com/?powerpress_pinw=1369-podcast');"" rel=""nofollow"" target=""_blank"" title=""Play in new window"">Play in new window | <a class=""powerpress_link_d"" download=""Anish.mp3"" href=""http://badilishapoetry.com/wp-content/uploads/downloads/Anish.mp3"" rel=""nofollow"" title=""Download"">Download",United States,"come closer.
come into this. come closer., you are quite the beauty. if no one has ever told you that before know that
now. you are quite the beauty. there is joy in how your mouth dances with
your teeth. your mouth is a sign of how sacred your life truly is. come into
this. true of heart come into this. you are true of heart. come closer. come
closer. know that whatever God prays to He asked it to help Him make
something of worth. He woke from His dreams scraped the soil form the spaces
inside Himself made you and was happy. you make the Lord happy.
come into this.
come closer., know that something softer than us but just as holy planted the pieces of
Himself into our feet that we might one day find our way back to Him. you
are almost home., come closer come into this. there are birds beating their wings beneath your
breastplate gentle sparrows aching to sing come aching hearts come soldiers
of joy doormen of truth come true of heart come into this., my heart was too big for my body so I let it go and most days this world has
thinned me  to where I am just another cloud forgetting another flock of
swans but believe me when I tell you my soul has squeezed into narrow
spaces. place your hand beneath your head when you sleep tonight and you may
find it there making beauty as we sleep as we dream as we turn over when I
turn over in the ground may the ghosts that I have asked answers of do the
turning kneading me into crumbs of light and into this thing love thing
called life. come into it!, come you wooden museums
you gentle tigers
negro farces in two broken scenes.
come rusting giants!, I see teacups in your smiles upside down glowing. your hands are like my
heart. on some days how it trembles. let us hold them together. I am like
you. I too at times am filled with fear. but like a hallway must find the
strength to walk through it. walk through this with me. walk through this
with me. through this church birthed of blood and muscle where every move
our arms take every breath we swallow is worship., bend with me. there are bones in our throats. if we choke it is only on
songs."
"<strong>Soul City, Gazlam</strong> and <strong>Yizo Yizo I and II</strong>. The latter won multiple local and international awards. In 2002 he co-wrote a feature film with Tebogo Mahlatsi titled <strong>Scar</strong><strong>Comeback: Poems in Conversation 1984-1989</strong>. ",South Africa,"A POEM ABOUT MYSELF
Who am I?
Unburied self I try
To conceal from
Those who pry?
Or the me I wear
From day to day
Capricious mask
In pliant clay?
Everyone has a part
In designing my face,
Yet  seems such a private spot
For so public a place, WELCOME TO THIS POEM
Welcome
To this poem,
Make yourself at home.
Would you care for something
Refreshing, some light relief?
A cup of tea perhaps?
You must be exhausted reading
All those poems,
And when one thinks of the unfigured
Multitude (can you bear
The thought?) cross-breeding in bottom drawers.¶, It is a long, bitter winter's night and who dares
Be an arbiter of taste in times like these?
And- oh the poet?
He's not in today
He's out selling life.
The big companies pay
Well, not forgetting the benefits,
And they love him
When he is angry."
"A Marketing Communications specialist, Obanya has worked and managed advertising strategy for several global brands in Africa. He is a novelist and a poet with published and unpublished works. His published works are, Him Bone Poetree and Sickles Raised from Dust<strong>.</strong>He is in the process of publishing a new novel titled, Ijambody and a new book of poems titled, Ambient Noon and other poems.He currently lives in Lagos, Nigeria or Accra, Ghana.",Nigeria,"I am Mai Ruwa, who provides a much needed service to both the rich and the poor.
I come from a twilight zone where nothing works. Some call it Gwagwalada, Some call it Ajegunle, Most shout: Sodom and Gomorrah.
I live with the voiceless masses that ecke out a living of patience and guts.¶ but for how long?
Before I set out in the morning, I wear my mantle of responsibility. After all, It is not easy to assume the responsibility of government.
I am Mai Ruwa, who supplies the rich and the poor with a precious cargo. My 6 Jerry cans of water, filled and refilled, on a continuous basis, keeps me busy to and fro."
"A native of the Transkei, she grew up in a township near Cape Town, where she worked as a domestic and completed her secondary education by correspondence. Magona later graduated from the University of South Africa and earned a graduate degree from Columbia University. She retired from the United Nations in 2003 and currently lives in South Africa.She published her autobiography To My Children's Children in 1990. In 1998, she published Mother to Mother, a fictionalized account of the Amy Biehl killing, which she adapted to a play. This was performed at the Baxter Theatre complex in late 2009 and the film rights to the novel were acquired by Type A Films in 2003. She has also written autobiographies and short story collections. Her novel Beauty's Gift was shortlisted for the Commonwealth Writers' Prize Best Book, Africa Region. In 2009, Please, Take Photographs, her first collection of poems, was published.",South Africa,"The first decade .ì I learnt to wipe my nose
Wipe my feet before entering the house
After a walk in the rain or on snow, The second decade .ì I learned to put on lipstick
Look in the mirror before
Leaving the house
Look at a boy without letting him know
I was looking
Look like a lady without letting Mama know
I felt all womanish inside, The third decade .ì I learned to wipe other people's noses
And love it
I learned to put another's interest before mine
Love and duty were but two sides of the same coin
Complain?
Me?
What did I have to complain about?
I was fulfilled! Grown up, married, with children and all,
A roof over my head. A boiling pot on the stove
And a man who told me, at least twice a day,
He worshipped the ground I walked on!
Yes, sometimes, very late at night, he reminded me
How much he loved me .ì
Very, very, very late at night; when the children were
Fast asleep.
Whenall the dishes were sparkling clean
When the floor was swept free of all toys,
Dusted, and wiped free of meddlesome footprints
Yes, sometimes, late at night, he reminded me
For the third time that day, how much
He loved me., The fourth decade .ì I watched my own children,
My daughters, make goo-goo eyes at boys
When they thought my eyes were closed
My ears deaf as stone
They whispered tingly secrets; made subtly suggestive
Gestures. Amused, I watched it all .ì thought, inside,
I sighed; amused to see the pattern repeat itself. Oh, my
God!
Embarrassed, I remembered my own na√Øve assumption of
My mother's blindness, The fifth decade .ì there was no denying it .ì my children
Were grown. Yes, they were my children; but they,
Definitely, were no longer children!
Did this mean I was old?
How could it be .ì when had that happened?
I was just discovering my essence!
Discovering joyful living sans fear of pregnancy,
Sin or ridicule! It was in such ecstatic sensuousness
I entered, The sixth decade .ì let no one misguide you,
The fifties are for fleshly fulfillment, sinful
Delight, and sprightly goings on. Now, at last,
I knew all there was to know about life.
I'd even made it, from scratch, myself
Gave it flesh, blood, and bone
Knit and bled it into being,
Nurtured it to healthy maturity., The seventh decade .ì I learned to live with loss
A huge hole came to live in my heart
But I learned to understand this:
The loss is as big as the love. I suffer
Greatly for I have greatly loved
I am grateful for the love that was mine.
I suffer, but I could not have asked for less., The eighth decade .ì I learned to live with
Fewer and fewer friends
Fewer and fewer visits from my children
As their own lives grew fuller and fuller, I love the four walls I call home
I love the skin that houses the bones I call my body
I love the people who, a long time ago,
Were my children
I look at their clean noses and know
I have lived a good life. Look. Just look!
How they truly no longer need me!, The ninth decade .ì I will learn the meaning of hours
For time is short, each hour more precious, therefore!
The journey is definitely longer behind me
The road ahead lifts with joy as I see
Footsteps painted a bright and
Joyful gold!
Without a doubt, I know, those are the footsteps
Love has made.
Mine has been a long life .ì rich in experience., But now, looking back, I see all those brilliant
Moments in my life are moments of loving,
Of giving to others. These are moments
When I transcended the self and its
Imperious demands. When I was for
Another .ì whatever it was they needed
To go one step forward: wife, friend;
Mother; neighbour; daughter; sister ; or
Stranger!, Yes, I can see: I have been a good citizen, a decent
Human being.
Now, I am eighty years old .ì I hope I still have
Time enough to catch up!
Pass me that damn bottle of wine, will you?"
"A native of Trinidad and Tobago, Desiree has lived in New York for over 13 years. Still, the Caribbean will never leave her.She believes that the written and spoken word can set fire to the positive action and social change that is waiting in our bones.",Trinidad and Tobago,"People who only know the Caribbean
as palm trees and turquoise seas
ask me what language
we speak in Trinidad and Tobago.
I answer, .úEnglish..ù
.úWe speak English..ù, But as soon as these words escape my lungs
as silent rage rushes out behind it
scorching my insides
releasing an aftertaste of fire
and charred history., You see
our English is not the English
spoken in Buckingham places
and high afternoon teas.
Our English bears the remnants
of imperialistic invasions,
the pillaging of minds and bodies,
only to discard them in foreign fields for profit., And so, to remember the language of that forgotten land
we began to re-member your English
infusing ritualistic rhythms in between
the pockets of your verse., We spoke in macheted syllables
that bled blood
mangled and diluted
by your white diction.
We sang with thick tongues
that rebelled against anglicized pronunciations:
the dead arms of Africa
throwing ghostly spears at every word
mutilating sentences
like black backs in sugar cane fields,
disembodying its structure
restitching adjectives and verbs
making ordinary nouns objective
the body's abortion
of the language of the Queen., Some people tell me that some Trinis sound British
but no matter how true
I refuse to hear it.
Cause when the British hear music
they may dance
but when any Trini hears the pounding of a drum
we wine and grind to the beat.
The music is our exorcist
and we pray that with every bead of sweat
we drain every ounce of Europe
that linger beneath our skins.
Maybe the bending and twisting
of our hips and thighs
will divide the pain
of the contortion
of our lost mothers
whose native tongues
were hemorrhaged in the hull
of a shackled ship., People say that my accent has escaped me
after being immersed in New York City streets
but they're not really listening
because if they peeled back my words
like the flesh of the master burned
in plantations by men
who refused to be emasculated,
the stench of rebellion
would invade their lungs,
robbing them of the opportunity
to say otherwise., Unlike my great-great grandfather
who was branded with the name Joko,
my accent is free.
It comes and goes as it pleases.
But the spirit of its past
will haunt my thoughts for an eternity.
And until it finds the words
of its original dialect
to scrawl across the stones of its tomb
it will never find a sacred place to rest., 2008"
"A qualified primary school teacher, Cosmas Mairosi was born in Mudzi and grew up in the rural area of Rusape in Manicaland province, Zimbabwe. He is a performance poet, writer, arts trainer in children's performing arts, vice chairperson of Budding Writers Association of Zimbabwe (BWAZ)'s and a member of Global Arts Trust.He has published poems and short stories in Writers Scroll, Teacher's Voice and New Voices magazines and is featured in an international anthology CHE IN VERSE published by Aflame Books. A compilation that includes two Nobel Prize Laureates and Allen Ginsberg. Cosmas has also published in State of the Nation, Contemporary Zimbabwean Poetry, an anthology of Zimbabwean poets. He has been broadcast on ZBC radio, television and BBC radio and television and has performed at the Zimbabwe International Book Fair since 2003, HIFA-Spoken Word.His international debut was at the ANTUSA Games (10-14 April 2008) in Francistown, Botswana, which was a festival of SADC Teachers Unions. Cosmas Mairosi won first prize in the House of Hunger Poetry Slam at the Book Caf√© and has twice been an International Society of Poets finalist. He has taught performance poetry and facilitates performance poetry workshops. Cosmas performed at Speak the Mind 2010 at the Artscape in Cape Town South Africa.",Zimbabwe,"which way my people
which way Africa
what song shall i sing
what dance shall i dance
when i hear the thunder of the African drum
but the celebration drums have gone silent
the voices of the oracles have diminished
the gods of the savannah
have turned to drinking children's blood
the children of NeHanda are deserting their homes
and is it easy for them to hunt in an alien jungle
where they can easily become the hunted!
was colonialism a blessing or a curse to Africa
decades after the whiteman's colonial legacy
has democracy failed Africa
or is Africa a failed democracy
is tribal esteem fuel enough to trigger ethnic dissent
are differences in political affiliation a reason to cut a brother's throat
are religious differences a reason enough to draw battle lines in Africa
awake my people, awake my Africa
the Supreme Being loves us all in our different ways
it is time to preach the gospel of sanity!"
