bios,country,name,poembios,country,name,poem
,,,
"['Poetry International 5', <br>
“Feral”</br>]",['United States'],Antler,"[<strong>Feral</strong>, '\r\n\r\nBoy raised by wolves, boy raised by panthers,\r\n\xa0\xa0\xa0\xa0 boy raised by dolphins, boy raised by sequoias,\r\nBoy raised by spirits of plant-eating dinosaurs\r\n\xa0\xa0\xa0\xa0 boy raised by the cave behind the waterfall,\r\nBoy raised by clouds, boy raised by snowflakes\r\n\xa0\xa0\xa0\xa0 every snowflake different,\r\nBoy raised by rainbows, boy raised by stars,\r\n\xa0\xa0\xa0\xa0 that existed before this Universe\r\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 in Universe that existed before this one,\r\nBoy raised by a crustal embedded in bedrock\r\n\xa0\xa0\xa0\xa0 one mile below where you stand\r\n\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0or one hundred miles below\r\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0 where you stand,\r\nBoy reared by an anaconda in the jungle\r\n\xa0\xa0\xa0\xa0 that became his teacher and bestfriend,\r\nBoy raised by eagles, boy raised by fireflies,\r\n\xa0\xa0\xa0\xa0 boy raised by luna months, boy raised by pussywillows,\r\nOwls, gorillas—boys raised by them,\r\nBears otters—boys raised by them,\r\nBigfoot, LochNess Monster—boys raised by them,\r\nBoy raised by geodes, boy raised by aurora,\r\n\xa0\xa0\xa0\xa0 boy raised by marijuana, boy brought up by mushrooms,\r\nBoy nurtured by a huge field of fresh fallen snow\r\n\xa0\xa0\xa0\xa0 with now footprints in it moonlight,\r\nBoy raised by whales he never sees\r\n\xa0 \xa0\xa0\xa0whose minds a mile down in the Pacific Ocean\r\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 controls his every move,\r\nBoy suckled by volcanoes,\r\nBoy raised by hurricanes and earthquakes,\r\n\xa0\xa0\xa0\xa0 tornado-raised boys,\r\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 boy raised by echoes from sea-shells,\r\nBoy raised by undiscovered pyramid on the Moon,\r\nBoy raised by reflection of Mount Everest\r\n\xa0\xa0\xa0\xa0 upsidedown in a dewdrop,\r\nBoy raised by being able to tell\r\n\xa0\xa0\xa0\xa0 what kind of tree\r\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 by smelling its bark in the dark.\r\n\r\n']"
"['Poetry International 22/23', <br>
“Cremation”</br>]",['Nigeria'],Chris Abani,"['Smoke and ash augur loss the night', <br>
My mother feeds her diary into flame,<br>
Sheet by sheet, line by cursive line,<br/>
And then a wind weaves through, just enough<br/>
To blow a flame back at her, searing her skin.<br/>
She hesitates a moment, penitent, then pulls back.<br/>
Did she let it hurt for one second too long for regret,<br/>
Or for the sweet torture of fire?<br/>
She smiles at me: sometimes you just burn your life<br/>
And begin again. And even again.<br/>
No ink is permanent, she mutters.<br/>
No path carved in stone.<br/>
I watch the single blister rise on her hand<br/>
The size of a baby’s heart.</br></br>]"
"['Poetry International', <br>
“Ha”<br/>
“Getting Older”</br>]['Poetry International 3', <br/>, '\n“Fine”']['Poetry International Weblog', <br/>, '\n“Fine”  ']",['United States'],Kim Addonizio,"['A man walks into a bar. You think that’s some kind of joke?', <br>
Actually he runs in, to get out of the freezing weather.<br>
Who cares, you say. Nobody you know.<br/>
You’ve got your own troubles, could use a drink yourself.<br/>
You get your coat, a long scarf. You trudge<br/>
to the corner over the scraped sidewalk, slip and fall down hard<br/>
on the ice. Actually a banana peel, but who’s looking?<br/>
Only a priest, a rabbi, and a lawyer you vaguely recognize—<br/>
didn’t she help with the divorce? Never mind, the marraige<br/>
is over, good riddance. You’re thinking now<br/>
you’d better have a double. You get up, holding your hip,<br/>
and limp towards the neon martini glass.<br/>
Anyway a man goes into a bar, just like you do.<br/>
He’s tired of life, tired of being alone. No one<br/>
takes him seriously; at work he’s the butt of jokes,<br/>
the foreman calls him <em>Moron</em> all day long. It’s true<br/>
he’s not too bright. He wants to kill himself,<br/>
but doesn’t know how to. He orders drink after drink,<br/>
cursing the angel who passed out brains.<br/>
You take the stool next to him. In half an hour<br/>
you’re pals—two losers getting shitfaced.<br/>
You start to tell each other riddles. What’s big and red<br/>
and eats rocks; what do you get when you cross a penis<br/>
with a potato? Why is there something rather than nothing?<br/>
If God is good, how is it that the weed of evil<br/>
takes root everywhere, and what is there to keep us<br/>
from murdering each other in despair? Why is pleasure always<br/>
a prelude to pain? The bartender takes your glasses, tells you<br/>
it’s time to get out. You stumble through the door,<br/>
and there you are in the cold and the wind and a little snow<br/>
that’s started to fall. Two losers stand on a corner.<br/>
One turns to the other and says, Why did our love end?<br/>
The other can’t answer. Why do they torment me? he says.<br/>
The snowstorm begins in earnest but still they stand there,<br/>
determined to stay put until they finally get it.</br></br>]"
"['Poetry International', <br>
“Sam, Returns”</br>]",['Canada'],Frances Payne Adler,"[<strong>Sam, Returns</strong>]"
"['Poetry International 5', <br>
“Good”<br/>
“Fifth Grade”</br>]",['United States'],Ellery Akers,"[""That Christmas vacation, Serena Evans invited me over and asked me to tell her a secret.\r\nShe was excited, looked at me with a gleam and a smirk,\r\nand I came up with a lie about this boy I liked, though nothing had happened,\r\nI'd just watched him that summer jackknifing into the water from a raft;\r\nbut Serena pumped me for details, "", <em>Did I like him, did I kiss him, </em>, '\r\n', <em>Did I want to kiss him,</em>, "" and then pulled out a tape recorder she'd hidden under her bed.\xa0\r\nShe'd been taping it all, said she'd play it in front of the class,\r\nand I got into my bulky coat and trudged home in the snow.\r\nAs I look back, it's the endurance that moves me, the lack of surprise:\r\nI knew people were like this, they would hurt you and shame you, that was their nature.\r\nIt wasn't my feeling for the boy that was important—\r\nI don't even remember his name—it was the sense of betrayal,\r\nhow she had trapped my voice like a bird in that box under her bed\r\nwhere she could summon it at the flick of her hand and it would fly for her.\r\nI remember how snow dissolved as it rushed into the drains,\r\nit was like secrecy itself, so thick and packed no one could see you.\r\nWhen I got back to the apartment, I knew there was no one\r\nI could tell about this, they were all just the same,\r\nand I sat by the heater, snow ticking against the window\r\nand knew it was just one of those blows that kept of falling\r\nthe way snow kept falling, it was how life was and you just absorbed it\r\nthe way the ground absorbed the snow: I was familiar with retraction,\r\nwithdrawal, the fact closing in on itself, the hermit crab retreating into its shell:\r\nyou pulled yourself in that way, deeper and deeper,\r\nand like the giant in the story, you stored your heart\r\nsomewhere else: in a hole in a tree, in a bird's egg\r\nso no one could ever find it: it was just a cold embarrassment, like any other.\r\n\r\n""]"
"['Poetry International 5', <br>
“A House Made of Smoke”</br>]",['United States'],Naveed Alam,[<strong>A House Made of Smoke</strong>]
"['Poetry International 22/23', <br>
“The Blue Vein”</br>]",['United States'],Sandra Alcosser,"['To be human is of the earth, crumbling']"
"['Poetry International 20/21', <br>
“On Falling Leaves”</br>]",['United States'],Sue Allison,"['In a light wind, dead leaves falling from the oak look too much like a']"
"['Poetry International 7/8', <br>
“The Dead Man’s Pain” </br>]['Poetry International 15/16', <br/>, '\n“The Child and the Stairs”']",['Pakistan'],Moniza Alvi,['\xa0']
"['Poetry International 10', <br>
“The Wedding”<br/>
“Intimate Disasters”</br>]",['United States'],Nin Andrews,"['Whoever told you the dead aren’t good lovers', <br>
never met my husband. He came home from the war<br>
in a body bag, the flag tucked in his corpse,<br/>
but when he heard my voice, he stepped out<br/>
of the coffin, swung it lightly aside.<br/>
That’s something every soldier knows<br/>
how to do. They can do it in their sleep.<br/>
They die and come back to life just to kiss the bride.<br/>
After the wedding, we were too drunk to drive home.<br/>
Everyone had left the cemetery. So we lay back<br/>
against the headstone, said our eulogies aloud,<br/>
told the moon and the stars about the life we’d leave behind.</br></br>]"
